product_norm,period_start,period_end,cheapest_branch,cheapest_price,num_branches_compared
LINGUIÇA P/ CHURRASCO GOMOS NATURAVES KG,03.11,06.11,BRUMADO,14.80,2
LÂMPADA LED G-LIGHT AUTOVOLT 9W 6500K,06.10,12.10,BRUMADO,2.80,3
MANTEIGA COM SAL NATVILLE 5009,03.11,06.11,BRUMADO,17.80,2
MANTEIGA NATVILLE C/ SAL 500G,06.10,12.10,CAMPINA GRANDE,18.00,3
MARGARINA DELINE BALDE 3KG,01.12,07.12,CAMPINA GRANDE,26.00,2
MARGARINA DELINE BALDE 3KG,03.11,09.11,CAMPINA GRANDE,26.50,2
MARGARINA DELINE BALDE 3KG,06.10,12.10,JOÃO PESSOA,27.80,2
MARGARINA DELINE BALDE 3KG,10.11,16.11,CAMPINA GRANDE,26.50,2
MARGARINA DELINE BALDE 3KG,17.11,23.11,CAMPINA GRANDE,26.90,2
MARGARINA DELINE BALDE 3KG,24.11,30.11,CAMPINA GRANDE,26.00,2
MASSA COMUM PETYAN 400G,03.11,06.11,BRUMADO,1.80,2
MASSA ESPAGUETE COMUM BONSABOR 400G,01.12,07.12,JUAZEIRO DO NORTE,1.80,3
MASSA ESPAGUETE COMUM BONSABOR 400G,03.11,09.11,CAMPINA GRANDE,1.00,2
MASSA ESPAGUETE COMUM BONSABOR 400G,10.11,16.11,JUAZEIRO DO NORTE,1.38,3
MASSA ESPAGUETE COMUM VITAFLOR 400G,01.12,07.12,CAMPINA GRANDE,1.80,2
MASSA ESPAGUETE COMUM VITAFLOR 400G,17.11,23.11,CAMPINA GRANDE,1.80,2
MASSA ESPAGUETE COMUM VITAFLOR 400G,24.11,30.11,CAMPINA GRANDE,1.78,2
MILHO VERDE FUGINI SACHÊ 170G,03.11,06.11,BRUMADO,2.80,2
MISTURA P/ PÃO FRANCÊS MAXI 25KG,01.12,07.12,CAMPINA GRANDE,88.00,2
MISTURA P/ PÃO FRANCÊS MAXI 25KG,03.11,09.11,CAMPINA GRANDE,88.00,2
MISTURA P/ PÃO FRANCÊS MAXI 25KG,10.11,16.11,CAMPINA GRANDE,88.00,2
MISTURA P/ PÃO FRANCÊS MAXI 25KG,17.11,23.11,CAMPINA GRANDE,88.00,2
MISTURA P/ PÃO FRANCÊS MAXI 25KG,24.11,30.11,CAMPINA GRANDE,85.00,2
MOLHO DE TOMATE JULIETA TRADICIONAL SACHÊ 310G,29.09,05.10,BRUMADO,0.00,2
MOLHO DE TOMATE QUERO TRADICIONAL 240G SACHÊ,06.10,12.10,BRUMADO,1.00,3
MOLHO DE TOMATE TRADICIONAL JULIETA SACHÊ 310G,03.11,09.11,CAMPINA GRANDE,0.88,2
MÚSCULO BOVINO RESFRIADO PEÇA/ PEDAÇO KG,03.11,06.11,BRUMADO,24.80,2
MÚSCULO BOVINO RESFRIADO PEÇA/ PEDAÇO KG,17.11,23.11,JUAZEIRO DO NORTE,25.80,3
NÉCTAR MARATÁ SABORES 200M!L,06.10,12.10,JUAZEIRO DO NORTE,1.00,3
NÉCTAR MARATÁ SABORES 200ML,06.10,12.10,BRUMADO,1.00,2
PAPEL HIGIÊNICO FAMILIAR SUPREMO 20M FOLHA DUPLA LEVE 12 PAGUE 11,01.12,07.12,CAMPINA GRANDE,10.00,2
PAPEL HIGIÊNICO FAMILIAR SUPREMO 20M FOLHA DUPLA LEVE 12 PAGUE 11,10.11,16.11,CAMPINA GRANDE,10.89,2
PAPEL HIGIÊNICO MAX PURE FOLHA DUPLA 30M LEVE 12 PAGUE 11,03.11,09.11,CAMPINA GRANDE,15.00,2
PAPEL HIGIÊNICO MAX PURE FOLHA DUPLA 30M LEVE 12 PAGUE 11,06.10,12.10,JOÃO PESSOA,13.00,2
PAPEL HIGIÊNICO MAX PURE FOLHA DUPLA 30M LEVE 12 PAGUE 11,24.11,30.11,CAMPINA GRANDE,12.89,2
PAPEL HIGIÊNICO VELUD FOLHA DUPLA 30M LEVE 12 PAGUE 11,06.10,12.10,BRUMADO,2.00,2
PATINHO BOVINO RESFRIADO PEÇA/ PEDAÇO KG,03.11,06.11,BRUMADO,34.80,2
