product_norm,branch,period_start,period_end,num_occurrences,price_mean,price_min,price_max
BATATA CONGELADA UAI 2KG,CAMPINA GRANDE,01.12,07.12,1,19.00,19.00,19.00
BATATA CONGELADA UAI 2KG,CAMPINA GRANDE,03.11,09.11,1,19.00,19.00,19.00
BATATA CONGELADA UAI 2KG,CAMPINA GRANDE,06.10,12.10,1,22.80,22.80,22.80
BATATA CONGELADA UAI 2KG,CAMPINA GRANDE,24.11,30.11,1,19.00,19.00,19.00
BATATA CONGELADA UAI 2KG,JOÃO PESSOA,01.12,07.12,1,19.00,19.00,19.00
BATATA CONGELADA UAI 2KG,JOÃO PESSOA,03.11,09.11,1,19.00,19.00,19.00
BATATA CONGELADA UAI 2KG,JOÃO PESSOA,06.10,12.10,1,22.80,22.80,22.80
BATATA CONGELADA UAI 2KG,JOÃO PESSOA,24.11,30.11,1,19.00,19.00,19.00
BATATA CONGELADA UAI 2KG,JUAZEIRO DO NORTE,01.12,07.12,1,19.80,19.80,19.80
BATATA CONGELADA UAI 2KG,JUAZEIRO DO NORTE,03.11,09.11,1,19.80,19.80,19.80
BATATA CONGELADA UAI 2KG,JUAZEIRO DO NORTE,10.11,16.11,1,19.00,19.00,19.00
BATATA CONGELADA UAI 2KG,JUAZEIRO DO NORTE,17.11,23.11,1,19.80,19.80,19.80
BATATA CONGELADA UAI 2KG,JUAZEIRO DO NORTE,24.11,30.11,1,19.80,19.80,19.80
BATATA CONGELADA UAI 2KG,VITÓRIA DA CONQUISTA,03.11,06.11,1,19.00,19.00,19.00
BATATA CONGELADA UAI 2KG,VITÓRIA DA CONQUISTA,06.10,12.10,1,22.80,22.80,22.80
BEBIDA ACHOCOLATADA ITALAKINHO 200ML,VITÓRIA DA CONQUISTA,06.10,12.10,1,1.20,1.20,1.20
BEBIDA LÁCTEA CHOKYNHO MARAJOARA 200ML,BRUMADO,13.10,19.10,1,1.90,1.90,1.90
BEBIDA LÁCTEA CHOKYNHO MARAJOARA 200ML,VITÓRIA DA CONQUISTA,13.10,19.10,1,1.00,1.00,1.00
BEBIDA LÁCTEA CHOKYNHO MARAJOARA 200ML,VITÓRIA DA CONQUISTA,29.09,05.10,1,1.99,1.99,1.99
BEBIDA LÁCTEA PULSI SABORES 8009,VITÓRIA DA CONQUISTA,13.10,19.10,1,6.20,6.20,6.20
BISCOITO CREAM CRACKER FORTALEZA TOST 3509,JUAZEIRO DO NORTE,17.11,23.11,1,4.80,4.80,4.80
BISCOITO CREAM CRACKER FORTALEZA TOSTADINHA 3509,JUAZEIRO DO NORTE,01.12,07.12,1,3.80,3.80,3.80
BISCOITO CREAM CRACKER FORTALEZA TOSTADINHA 3509,JUAZEIRO DO NORTE,24.11,30.11,1,3.80,3.80,3.80
BISCOITO CREAM CRACKER TOSTADINHA FORTALEZA 3509,JUAZEIRO DO NORTE,03.11,09.11,1,4.80,4.80,4.80
BISCOITO CREAM CRACKER TRADICIONAL TOST PETYAN 3509,VITÓRIA DA CONQUISTA,29.09,05.10,1,3.00,3.00,3.00
BISCOITO CREAM CRACKER VITARELLA 350G,BRUMADO,13.10,19.10,1,3.80,3.80,3.80
BISCOITO CREAM CRACKER VITARELLA 350G,CAMPINA GRANDE,06.10,12.10,1,3.00,3.00,3.00
BISCOITO CREAM CRACKER VITARELLA 350G,JOÃO PESSOA,06.10,12.10,1,3.20,3.20,3.20
BISCOITO CREAM CRACKER VITARELLA 350G,VITÓRIA DA CONQUISTA,06.10,12.10,1,3.00,3.00,3.00
BISCOITO WAFER VITARELLA SABORES 80G,BRUMADO,06.10,12.10,1,1.30,1.30,1.30
BISCOITO WAFER VITARELLA SABORES 80G,CAMPINA GRANDE,06.10,12.10,1,1.20,1.20,1.20
BISCOITO WAFER VITARELLA SABORES 80G,JOÃO PESSOA,06.10,12.10,1,1.30,1.30,1.30
BISCOITO WAFER VITARELLA SABORES 80G,VITÓRIA DA CONQUISTA,13.10,19.10,1,1.00,1.00,1.00
CAFÉ ALMOFADA DONA LITA TRADICIONAL 200G,VITÓRIA DA CONQUISTA,13.10,19.10,1,12.00,12.00,12.00
CAFÉ ALMOFADA TRADICIONAL SÃO BRAZ 2509,CAMPINA GRANDE,10.11,16.11,1,13.80,13.80,13.80
CAFÉ ALMOFADA TRADICIONAL SÃO BRAZ 2509,CAMPINA GRANDE,17.11,23.11,1,13.90,13.90,13.90
CAFÉ ALMOFADA TRADICIONAL SÃO BRAZ 2509,JOÃO PESSOA,10.11,16.11,1,13.80,13.80,13.80
CAFÉ ALMOFADA TRADICIONAL SÃO BRAZ 2509,JOÃO PESSOA,17.11,23.11,1,13.90,13.90,13.90
